 ,abcdefghjklmoqsuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ,p,r,i,n,t,1234567890,(,),;,:,=,",",+,-,*,/,
0,1,2,1,1,1,1,7,8,9,10,11,-1,13,14,15,16,17,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
